Path,Section,Question,Question Priority/Weighting,Input/Answer,Nonprofit Field,Filter,Answer Priority/Weighting,Recommendation Note
Volunteer,Section 2: Your Volunteering Preferences,What type of volunteering are you looking for?,Medium (1),Any selected,Populations Served; NEW FIELD: Volunteer opportunity attributes,None,"Weight +4: Exact Population Served match (Kids/Seniors/Veterans)
Weight +3: Exact volunteer opportunity attribute match",Requires a new structured nonprofit field before this answer can reliably affect ranking. See sheet titled Row 49
Volunteer,Section 3: Your Availability & Location,What format works best for you?,High (1.5) ,Any selected,NEW FIELD: Volunteer format (In person / Remote / Hybrid); accessibility,Remote-only selection: Remote or Hybrid required,"Weight +5: Exact format match
 Weight +4: Accessible opportunity match when selected",Requires a new structured nonprofit field before this answer can reliably affect ranking.
Volunteer,Section 3: Where & How You Engage,Which community would you like your giving to focus on?,High (1.5) ,Nashville,Location Address City = Nashville; Scope of Work,Only organizations serving TN + nationwide organizations,"Weight +5: Address City = Nashville
 Weight +3: Regional/state service coverage
 Nationwide organizations remain eligible",Treat the filter separately from ranking score.
Volunteer,Section 3: Where & How You Engage,Which community would you like your giving to focus on?,High (1.5) ,Los Angeles,Location Address City = Los Angeles; Scope of Work,Only organizations serving CA + nationwide organizations,"Weight +5: Address City = Los Angeles
 Weight +3: Regional/state service coverage
 Nationwide organizations remain eligible",Treat the filter separately from ranking score.
Volunteer,Section 3: Where & How You Engage,Which community would you like your giving to focus on?,High (1.5) ,Atlantic City,Location Address City = Atlantic City; Scope of Work,Only organizations serving NJ + nationwide organizations,"Weight +5: Address City = Atlantic City
 Weight +3: Regional/state service coverage
 Nationwide organizations remain eligible",Treat the filter separately from ranking score.
Volunteer,Section 3: Where & How You Engage,Which community would you like your giving to focus on?,High (1.5) ,Somewhere else,Location Address City/ZIP; Scope of Work,Only organizations serving selected state/area + nationwide organizations,"Weight +5: Exact city/ZIP proximity match
 Weight +3: Regional/state service coverage
 Nationwide organizations remain eligible",Treat the filter separately from ranking score.
Volunteer,Section 3: Where & How You Engage,Which community would you like your giving to focus on?,High (1.5) ,Nationwide,Scope of Work = National,Scope of Work = National,Weight +2: Organization also has a location near the user,Treat the filter separately from ranking score.
Volunteer,Section 3: Your Availability & Location,How much time do you have to give?,Medium (1),Any selected,NEW FIELD: Volunteer frequency/commitment (One-time / Event-based / Weekly / Ongoing),None,Weight +3: Exact time commitment/frequency match,Requires a new structured nonprofit field before this answer can reliably affect ranking.
Volunteer,Section 4: Preferences & Accessibility,Personal Details,Low (.5),Age Range,Information only,None,None,Do not use for preset scoring.
Volunteer,Section 4: Preferences & Accessibility,Personal Details,Low (.5),Gender Identity,Information only,None,None,Do not use for preset scoring.
Volunteer,Section 4: Preferences & Accessibility,Personal Details,Low (.5),Race or Ethnicity,Information only,None,None,Do not use for preset scoring.
